player1_name,player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces
Roman Andres Burruchaga,22,156,378,0.6041666666666666,0.5909090909090909,1.0,4,0.5,41,0.6097560975609756,3,0.6666666666666666,0,0.0,0,0,0,0,0.602880658436214,0.6606533398342272,0.4759437453737972,0.43354430379746833,0.4803370786516854,3.5,2.0208333333333335
Facundo Diaz Acosta,24,79,714,0.5102040816326531,0.5,0.6153846153846154,11,0.2727272727272727,34,0.6470588235294118,1,0.0,3,0.0,0,0,0,0,0.6437061048082118,0.6735207721359631,0.514783927217589,0.38572204125950055,0.38950276243093923,2.836734693877551,2.693877551020408
Lorenzo Musetti,22,17,2600,0.6938775510204082,0.8076923076923077,0.6875,13,0.6153846153846154,15,0.7333333333333333,15,0.8,6,0.5,0,0,0,0,0.6518624641833811,0.7106227106227107,0.5281207133058985,0.38320330426801286,0.3974025974025974,1.9795918367346939,4.122448979591836
Hugo Dellien,31,124,488,0.7142857142857143,0.4117647058823529,0.8888888888888888,1,0.0,46,0.7391304347826086,2,0.5,0,0.0,0,0,0,0,0.7071895424836602,0.7079482439926063,0.5424107142857143,0.4226675015654352,0.46808510638297873,1.574468085106383,2.4468085106382977
Karen Khachanov,28,19,2410,0.6122448979591837,0.5555555555555556,0.8125,19,0.47368421052631576,12,0.6666666666666666,4,0.25,14,0.8571428571428571,0,0,0,0,0.6452720549392499,0.7449856733524355,0.5227103499627699,0.3684210526315789,0.3829113924050633,1.7755102040816326,6.959183673469388
Adrian Mannarino,36,66,779,0.3541666666666667,0.46153846153846156,0.4666666666666667,24,0.3333333333333333,5,0.0,6,0.16666666666666666,13,0.6153846153846154,0,0,0,0,0.594896331738437,0.6724754244861484,0.5111548556430446,0.3415948275862069,0.3860294117647059,2.3191489361702127,4.446808510638298
Matteo Arnaldi,23,37,1345,0.5208333333333334,0.5,0.8,23,0.5652173913043478,19,0.5263157894736842,3,0.3333333333333333,3,0.3333333333333333,0,0,0,0,0.5681095622401565,0.7042617305208781,0.49261363636363636,0.37945649463974074,0.3983286908077994,3.4583333333333335,7.020833333333333
Zizou Bergs,25,71,768,0.6122448979591837,0.48148148148148145,0.8,12,0.5833333333333334,14,0.6428571428571429,10,0.6,13,0.6153846153846154,0,0,0,0,0.6185645447628709,0.7359573595735958,0.5378989361702128,0.3795026725540321,0.37567567567567567,3.3877551020408165,7.122448979591836
Thiago Moura Monteiro,30,109,566,0.5714285714285714,0.45,0.6111111111111112,4,0.25,34,0.7058823529411765,3,0.3333333333333333,8,0.25,0,0,0,0,0.6545817870396803,0.7549062363715656,0.5743801652892562,0.34043701106015645,0.3497942386831276,2.1666666666666665,4.938775510204081
Jordan Thompson,30,26,1745,0.5918367346938775,0.6086956521739131,0.8235294117647058,29,0.6551724137931034,8,0.375,7,0.5714285714285714,5,0.6,0,0,0,0,0.5985518905872889,0.7226702508960573,0.5177020708082832,0.36219413820919605,0.36082474226804123,1.3333333333333333,6.645833333333333
Lorenzo Sonego,29,53,1026,0.5102040816326531,0.5263157894736842,0.5,14,0.5714285714285714,21,0.47619047619047616,6,0.5,8,0.5,0,0,0,0,0.6561791383219955,0.7239740820734342,0.5333882934872217,0.33876761536336003,0.32669322709163345,2.2127659574468086,5.468085106382978
Hugo Gaston,24,76,717,0.4791666666666667,0.4827586206896552,1.0,9,0.0,26,0.5769230769230769,5,0.6,8,0.625,0,0,0,0,0.545984291867241,0.65707656612529,0.5100446428571429,0.3796583850931677,0.41040462427745666,2.4791666666666665,3.0416666666666665
Sebastian Baez,24,27,1690,0.5306122448979592,0.5238095238095238,0.6363636363636364,9,0.3333333333333333,33,0.696969696969697,3,0.0,4,0.0,0,0,0,0,0.7186379928315412,0.6401852511578198,0.5131938125568699,0.3974696889826041,0.4015748031496063,2.0,2.183673469387755
Sebastian Ofner,28,88,643,0.46938775510204084,0.4230769230769231,0.6666666666666666,13,0.46153846153846156,21,0.38095238095238093,8,0.5,7,0.7142857142857143,0,0,0,0,0.5629738322328197,0.737619461337967,0.5047565752658086,0.35552231363749687,0.41638225255972694,2.5319148936170213,8.319148936170214
Stefanos Tsitsipas,26,11,3165,0.673469387755102,0.7272727272727273,0.65,9,0.4444444444444444,26,0.7692307692307693,4,0.5,10,0.7,0,0,0,0,0.6214430894308943,0.7469337694194603,0.5425888665325285,0.35136527563111797,0.3870967741935484,3.204081632653061,6.551020408163265
