index,player1_name,player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces,player2_name,player2_age,player2_ranking,player2_points,player2_win_rate,player2_win_rate_3_sets,player2_win_rate_tiebreak,player2_total_matches_dure,player2_win_rate_dure,player2_total_matches_terre battue,player2_win_rate_terre battue,player2_total_matches_gazon,player2_win_rate_gazon,player2_total_matches_salle,player2_win_rate_salle,player2_total_matches_carpet,player2_win_rate_carpet,player2_total_matches_acryl,player2_win_rate_acryl,player2_avg_first_serve_pct,player2_avg_first_serve_won_pct,player2_avg_second_serve_won_pct,player2_avg_return_points_won_pct,player2_avg_break_point_won_pct,player2_avg_double_fautes,player2_avg_aces,tournament_category,target,date,surface_dure,surface_salle,surface_terre_batue,surface_gazon,ranking_diff,points_diff,win_rate_diff,win_rate_diff_3_sets,win_rate_tiebreak_diff,aces_diff,double_faults_diff,win_rate_dure_diff,win_rate_terre_diff,win_rate_gazon_diff,win_rate_salle_diff
2505,Stefanos Tsitsipas,26,11,3165,0.6666666666666666,0.7,0.65,8,0.375,26,0.7692307692307693,4,0.5,7,0.7142857142857143,0,0,0,0,0.6252411132543401,0.743499338915822,0.5415135929463629,0.35195530726256985,0.3894736842105263,3.1333333333333333,6.4222222222222225,Alejandro Tabilo,27,23,1943,0.5416666666666666,0.47619047619047616,0.55,12,0.4166666666666667,18,0.6111111111111112,9,0.7777777777777778,9,0.3333333333333333,0,0,0,0,0.6392586791960324,0.7488770926908942,0.48914616497829233,0.3487687366167024,0.3817427385892116,2.5,7.458333333333333,3,1,29.10.24,0,1,0,0,12,1222,0.125,0.2238095238095238,0.0,1.0361111111111105,0.6333333333333333,0.041666666666666685,0.1581196581196581,0.2777777777777778,0.380952380952381
2506,Carlos Alcaraz,21,3,7010,0.8571428571428571,0.9375,0.8181818181818182,2,0.5,17,0.8823529411764706,9,0.8888888888888888,0,0.0,0,0,0,0,0.6566191446028513,0.706575682382134,0.5705812574139977,0.42134607726005574,0.43617021276595747,2.4642857142857144,4.821428571428571,Gael Monfils,38,55,1005,0.5135135135135135,0.45454545454545453,0.8181818181818182,17,0.5882352941176471,9,0.3333333333333333,7,0.7142857142857143,4,0.25,0,0,0,0,0.6033057851239669,0.7364383561643836,0.515,0.35364635364635366,0.3905579399141631,3.72972972972973,8.675675675675675,3,0,16.08.24,1,0,0,0,52,6005,0.3436293436293436,0.48295454545454547,0.0,3.8542471042471043,1.2654440154440154,0.08823529411764708,0.5490196078431373,0.17460317460317454,0.25
2507,Felix Auger Aliassime,24,29,1635,0.4444444444444444,0.3333333333333333,0.5,5,0.4,3,0.6666666666666666,0,0.0,1,0.0,0,0,0,0,0.6209677419354839,0.7610389610389611,0.5191489361702127,0.3375594294770206,0.34285714285714286,4.222222222222222,7.555555555555555,Taro Daniel,31,84,674,0.3333333333333333,0.0,1.0,1,0.0,2,0.5,0,0.0,0,0.0,0,0,0,0,0.645,0.7286821705426356,0.5211267605633803,0.3282828282828283,0.8,2.0,3.3333333333333335,1,1,18.04.24,0,0,1,0,55,961,0.1111111111111111,0.3333333333333333,0.0,4.222222222222221,2.2222222222222223,0.4,0.16666666666666663,0.0,0.0
2508,Daniil Medvedev,28,5,5030,0.7142857142857143,1.0,1.0,5,0.8,9,0.6666666666666666,0,0.0,0,0.0,0,0,0,0,0.6085106382978723,0.7237762237762237,0.49184782608695654,0.3978835978835979,0.47560975609756095,3.4285714285714284,3.857142857142857,Dominik Koepfer,30,102,610,0.6052631578947368,0.6153846153846154,0.3076923076923077,15,0.6666666666666666,10,0.4,0,0.0,13,0.6923076923076923,0,0,0,0,0.6242537313432835,0.7095038852361029,0.5312810327706058,0.3779697624190065,0.3660377358490566,2.8378378378378377,4.324324324324325,3,1,27.05.24,0,0,1,0,97,4420,0.10902255639097747,0.3846153846153846,0.0,0.46718146718146736,0.5907335907335907,0.13333333333333341,0.2666666666666666,0.0,0.6923076923076923
2509,Mariano Navone,23,47,1148,0.6666666666666666,0.6923076923076923,1.0,0,0.0,28,0.7142857142857143,2,0.0,0,0.0,0,0,0,0,0.6974288337924701,0.6359447004608295,0.47192716236722304,0.4524321997417133,0.4336917562724014,2.103448275862069,1.6896551724137931,Lorenzo Sonego,29,53,1026,0.45454545454545453,0.5555555555555556,0.4,0,0.0,18,0.4444444444444444,4,0.5,0,0.0,0,0,0,0,0.6435272045028143,0.7026239067055393,0.5210526315789473,0.3241687979539642,0.36633663366336633,2.4285714285714284,4.095238095238095,4,0,01.07.24,0,0,0,1,6,122,0.2121212121212121,0.1367521367521367,0.0,2.4055829228243018,0.32512315270935943,0.0,0.2698412698412699,0.5,0.0
2510,Daniil Medvedev,28,5,5030,0.7647058823529411,1.0,1.0,5,0.8,12,0.75,0,0.0,0,0.0,0,0,0,0,0.6229641693811075,0.7241830065359477,0.48596112311015116,0.4126984126984127,0.49514563106796117,3.588235294117647,4.411764705882353,Alex De Minaur,25,9,3745,0.6875,0.8333333333333334,0.5,3,0.6666666666666666,13,0.6923076923076923,0,0.0,0,0.0,0,0,0,0,0.5413533834586466,0.6909722222222222,0.569672131147541,0.4379251700680272,0.49264705882352944,2.4375,2.9375,3,0,03.06.24,0,0,1,0,4,1285,0.07720588235294112,0.16666666666666663,0.0,1.4742647058823533,1.1507352941176472,0.13333333333333341,0.05769230769230771,0.0,0.0
2511,Fabio Fognini,37,91,637,0.5,0.6,0.3333333333333333,0,0.0,6,0.5,0,0.0,0,0.0,0,0,0,0,0.6293436293436293,0.6319018404907976,0.4895833333333333,0.3787575150300601,0.4489795918367347,3.5,1.6666666666666667,Daniel Evans,34,164,364,0.23529411764705882,0.2857142857142857,0.0,12,0.3333333333333333,3,0.0,0,0.0,2,0.0,0,0,0,0,0.5657467532467533,0.7116212338593975,0.508411214953271,0.34662327095199347,0.3132530120481928,3.176470588235294,3.0588235294117645,3,1,09.05.24,0,0,1,0,73,273,0.2647058823529412,0.3142857142857143,0.0,1.3921568627450978,0.32352941176470607,0.3333333333333333,0.5,0.0,0.0
2512,Yannick Hanfmann,33,96,627,0.4,0.6666666666666666,0.6666666666666666,6,0.5,14,0.35714285714285715,0,0.0,0,0.0,0,0,0,0,0.6554794520547945,0.6342737722048067,0.4990059642147117,0.36587078651685395,0.3305785123966942,1.9,3.1,Jan Choinski,28,173,330,0.5454545454545454,0.5,0.3333333333333333,0,0.0,11,0.5454545454545454,0,0.0,0,0.0,0,0,0,0,0.6848404255319149,0.6757281553398058,0.569620253164557,0.40897435897435896,0.44776119402985076,1.0909090909090908,3.0,2,0,04.06.24,0,0,1,0,77,297,0.1454545454545454,0.16666666666666663,0.0,0.10000000000000009,0.8090909090909091,0.5,0.18831168831168826,0.0,0.0
2513,Alexandre Muller,27,67,778,0.5813953488372093,0.5294117647058824,0.6428571428571429,10,0.4,29,0.6551724137931034,2,0.5,2,0.5,0,0,0,0,0.6395597676551513,0.6792543021032504,0.5089058524173028,0.4021065675340768,0.4166666666666667,1.6046511627906976,2.883720930232558,Maximilian Marterer,29,184,313,0.43478260869565216,0.4666666666666667,0.6,13,0.3076923076923077,23,0.4782608695652174,5,0.4,5,0.6,0,0,0,0,0.613245860668541,0.6846663270504331,0.5182186234817814,0.3571196886149854,0.4189189189189189,2.604651162790698,5.288888888888889,2,1,19.10.24,0,1,0,0,117,465,0.14661274014155717,0.06274509803921569,0.0,2.405167958656331,1.0000000000000002,0.09230769230769231,0.17691154422788602,0.09999999999999998,0.09999999999999998
2514,Gabriel Diallo,23,87,643,0.5714285714285714,0.75,0.3333333333333333,1,1.0,0,0.0,6,0.5,0,0.0,0,0,0,0,0.663109756097561,0.7149425287356321,0.5610859728506787,0.34035656401944897,0.275,2.857142857142857,10.0,Joao Fonseca,18,145,409,0.5,0.4,0.8571428571428571,1,1.0,11,0.5454545454545454,6,0.3333333333333333,0,0.0,0,0,0,0,0.6512430939226519,0.6818663838812301,0.5227722772277228,0.3734525447042641,0.38345864661654133,2.5555555555555554,5.388888888888889,2,1,24.07.24,1,0,0,0,58,234,0.0714285714285714,0.35,0.0,4.611111111111111,0.30158730158730185,0.0,0.5454545454545454,0.16666666666666669,0.0
